Index,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17
2011-09-02,9.29,5.37,6.33,15.96,70.62,6.48,8.95,34.85,8,16.16,11.9,198.69,13.59,5.46,7.48,12.43,13.55,45.6
2011-09-05,9.15,5.27,6.3,NA,68.42,6.29,8.97,33.86,8,16.19,12.17,193.74,13.79,5.58,7.44,12.51,13.54,43.95
2011-09-06,9.11,5.17,6.24,16.21,67.35,6.14,8.91,34.67,7.98,16.1,12.36,202.53,NA,5.67,7.49,12.59,12.86,44.03
2011-09-07,9.29,5.21,6.37,16.55,70.39,6.27,9.06,34.86,8.06,16.7,12.61,203.8,13.91,5.71,NA,12.85,12.41,44.79
2011-09-08,9.26,5.23,6.34,16.94,70.46,6.26,8.96,34.96,8.02,17.15,12.62,209.89,13.8,5.63,7.7,12.74,8.15,44.53
2011-09-09,9.3,5.34,6.36,16.99,72.92,6.1,8.82,34.97,7.86,17.06,12.31,206.59,13.27,5.59,7.69,12.44,7.88,44.75
2011-09-13,9.15,5.38,6.41,17.44,72.77,6.16,8.93,35.98,7.9,17.24,12.73,211.61,13.38,5.58,7.79,12.55,8.06,44.84
2011-09-14,9.1,5.61,6.48,17.35,78.01,6.22,8.92,35.95,8.02,17.33,12.96,207.87,13.42,5.65,7.79,12.56,8.43,46.05
2011-09-15,8.95,5.67,6.49,17.76,77.72,6.31,8.91,36.24,8.04,17.17,13.01,208.74,13.23,5.66,7.78,12.48,8.66,45.68
2011-09-16,8.98,5.7,6.06,17.37,77.5,6.17,8.73,35.68,7.96,16.56,12.89,201.82,12.96,5.54,7.46,NA,8.76,46.03
2011-09-19,8.81,5.6,6.06,17.07,75.83,6.23,8.69,36.17,7.96,16.67,13.21,202.56,12.78,5.56,7.41,12.49,8.69,45.63
2011-09-20,8.86,5.65,6.01,16.9,77.17,6.32,8.56,16.28,7.92,16.62,13.16,201.49,12.83,5.65,7.31,12.36,9.06,45.31
2011-09-21,9.09,5.59,6.06,17.71,76.3,6.38,8.65,NA,8.13,17.31,13.02,204.46,12.9,5.68,7.43,12.74,9.51,45.62
2011-09-22,8.82,5.77,6.04,17.54,77.14,6.28,8.52,16.2,8.08,17.4,12.75,203.21,12.84,5.7,7.33,12.69,9.35,45.44
2011-09-23,8.73,5.72,5.94,17.15,77.11,6.13,8.35,15.37,8.03,17.06,12.42,203.02,12.73,5.54,7.41,11.96,9.13,44.81
2011-09-26,8.44,6.09,5.92,16.55,69.4,6.06,8.36,15.43,8.15,17.03,12.24,208.63,12.73,5.44,7.34,11.81,9.32,44.37
